"game_id","exposure","outcome","field_location","wind_new","temp_new","surface_new","roof_new","def_team_rating","off_team_rating","spread_line_new"
"2020_17_JAX_IND",0,1,1,"4",36,0,0,2,1,15.5
"2021_01_SEA_IND",1,0,1,"6",81,0,0,1,1,-3
"2021_02_LA_IND",1,0,1,"7",83,0,0,1,1,-4
"2021_05_IND_BAL",1,0,0,"4",69,1,1,2,1,-7.5
"2021_06_HOU_IND",1,1,1,"10",58,0,1,2,1,10.5
"2021_07_IND_SF",1,1,0,"21",64,1,1,1,1,-3.5
"2021_08_TEN_IND",1,0,1,"5",56,0,1,1,1,3
"2021_09_NYJ_IND",1,1,1,"2",44,0,0,2,1,10.5
"2021_11_IND_BUF",1,1,0,"15",49,0,1,1,1,-7.5
"2021_12_TB_IND",1,0,1,"8",41,0,0,1,1,-3
"2021_13_IND_HOU",1,1,0,"10",76,0,0,2,1,10
"2021_15_NE_IND",1,1,1,"6",36,0,0,1,1,-1
"2021_17_LV_IND",1,0,1,"6",28,0,0,2,1,8.5
"2021_18_IND_JAX",1,0,0,"13",77,1,1,2,1,14
"2021_10_JAX_IND",0,1,1,"6",36,0,0,2,1,10.5
"2022_02_IND_JAX",1,0,0,"9",78,1,1,1,2,3
"2022_03_KC_IND",1,1,1,"8",65,0,1,2,2,-4.5
"2022_07_IND_TEN",1,0,0,"12",74,1,1,1,2,-2.5
"2022_09_IND_NE",1,0,0,"15",75,0,1,1,2,-5
"2022_11_PHI_IND",1,0,1,"5",29,0,0,1,2,-6.5
"2022_12_PIT_IND",1,0,1,"3",45,0,0,1,2,2.5
"2022_15_IND_MIN",1,0,0,"12",19,0,0,2,2,-3.5
"2022_16_LAC_IND",1,0,1,"2",23,0,0,2,2,-3.5
"2022_17_IND_NYG",1,0,0,"12",53,0,1,2,2,-5.5
"2022_18_HOU_IND",1,0,1,"3",36,0,0,2,2,3
"2022_04_TEN_IND",0,0,1,"7",63,0,1,1,2,4.5
